idx,weekend_worday,week_day,Row Labels,Host Name,Instance Name,AAS,AAS_N,CPU Utilization (%),DB CPU,IOPS,IOWAIT_TIME,Memory Utilization (%),PGA Total (MB),processes
3840,2,3,2023/1/3 0:00,dokopra2dbc21lp,KOPRADC2,1.1,0.152046784,8.42,933349164,172775,1490,72.4,6767.82,717
3841,2,3,2023/1/3 0:15,dokopra2dbc21lp,KOPRADC2,1.08,0.149122807,8.68,950972451,25283,2080,72.44,6814.91,737
3842,2,3,2023/1/3 0:30,dokopra2dbc21lp,KOPRADC2,1.17,0.162280702,9.05,1019685373,106776,1780,72.4,6776.46,714
3843,2,3,2023/1/3 0:45,dokopra2dbc21lp,KOPRADC2,0.45,0.057017544,4.7,392042190,33766,1780,72.58,6950.39,765
3844,2,3,2023/1/3 1:00,dokopra2dbc21lp,KOPRADC2,0.15,0.013157895,2.66,117227161,32688,1450,72.62,6989.85,777
3845,2,3,2023/1/3 1:15,dokopra2dbc21lp,KOPRADC2,0.07,0.001461988,2.32,55739073,21844,1720,72.55,6937.97,754
3846,2,3,2023/1/3 1:30,dokopra2dbc21lp,KOPRADC2,0.13,0.010233918,2.55,103152931,29803,1480,72.54,6919.81,752
3847,2,3,2023/1/3 1:45,dokopra2dbc21lp,KOPRADC2,0.1,0.005847953,2.48,79661352,28497,1770,72.52,6883,741
3848,2,3,2023/1/3 2:00,dokopra2dbc21lp,KOPRADC2,0.1,0.005847953,2.37,70973177,24697,1490,72.47,6839.11,727
3849,2,3,2023/1/3 2:15,dokopra2dbc21lp,KOPRADC2,0.1,0.005847953,2.46,78380917,31367,1850,72.51,6885.53,743
3850,2,3,2023/1/3 2:30,dokopra2dbc21lp,KOPRADC2,0.11,0.007309942,2.5,91383113,27120,1530,72.46,6806.09,726
3851,2,3,2023/1/3 2:45,dokopra2dbc21lp,KOPRADC2,0.12,0.00877193,2.53,90871918,27090,1400,72.6,6916.22,765
3852,2,3,2023/1/3 3:00,dokopra2dbc21lp,KOPRADC2,0.09,0.004385965,2.32,70731350,22163,1390,72.56,6885.78,742
3853,2,3,2023/1/3 3:15,dokopra2dbc21lp,KOPRADC2,0.11,0.007309942,2.56,93537452,31136,1640,72.44,6768.07,734
3854,2,3,2023/1/3 3:30,dokopra2dbc21lp,KOPRADC2,0.08,0.002923977,2.3,55724196,24194,1570,72.58,6869.06,767
3855,2,3,2023/1/3 3:45,dokopra2dbc21lp,KOPRADC2,0.08,0.002923977,2.34,62786267,23182,1450,72.53,6841.48,752
3856,2,3,2023/1/3 4:00,dokopra2dbc21lp,KOPRADC2,0.09,0.004385965,2.3,65484371,24869,1600,72.55,6859.7,752
3857,2,3,2023/1/3 4:15,dokopra2dbc21lp,KOPRADC2,0.11,0.007309942,2.57,89011821,31810,1520,72.51,6825.12,743
3858,2,3,2023/1/3 4:30,dokopra2dbc21lp,KOPRADC2,0.12,0.00877193,2.49,92847264,30249,1310,72.48,6805.38,733
3859,2,3,2023/1/3 4:45,dokopra2dbc21lp,KOPRADC2,0.07,0.001461988,2.31,55706739,22975,1360,72.49,6848.41,738
3860,2,3,2023/1/3 5:00,dokopra2dbc21lp,KOPRADC2,0.12,0.00877193,2.54,97185368,30688,1330,72.64,6899.61,767
3861,2,3,2023/1/3 5:15,dokopra2dbc21lp,KOPRADC2,0.11,0.007309942,3.14,84866201,33469,1900,72.59,6913.56,769
3862,2,3,2023/1/3 5:30,dokopra2dbc21lp,KOPRADC2,0.1,0.005847953,2.36,75433385,27530,1230,72.49,6800.61,736
3863,2,3,2023/1/3 5:45,dokopra2dbc21lp,KOPRADC2,0.13,0.010233918,2.65,101186094,31922,1850,72.46,6767.35,727
3864,2,3,2023/1/3 6:00,dokopra2dbc21lp,KOPRADC2,0.15,0.013157895,2.68,118111414,35610,1370,72.62,6877.29,749
3865,2,3,2023/1/3 6:15,dokopra2dbc21lp,KOPRADC2,0.12,0.00877193,2.53,82286181,91556,1580,72.48,6864.97,752
3866,2,3,2023/1/3 6:30,dokopra2dbc21lp,KOPRADC2,0.16,0.014619883,2.76,127491257,43035,1680,72.47,6848.23,742
3867,2,3,2023/1/3 6:45,dokopra2dbc21lp,KOPRADC2,0.14,0.011695906,2.73,112747488,35858,1590,72.52,6874.12,750
3868,2,3,2023/1/3 7:00,dokopra2dbc21lp,KOPRADC2,0.18,0.01754386,2.88,146557230,40201,1670,72.5,6876.45,747
3869,2,3,2023/1/3 7:15,dokopra2dbc21lp,KOPRADC2,0.12,0.00877193,2.67,92259789,30574,1810,72.37,6927.29,714
3870,2,3,2023/1/3 7:30,dokopra2dbc21lp,KOPRADC2,0.11,0.007309942,2.61,85800868,141985,1630,72.53,6837.51,756
3871,2,3,2023/1/3 7:45,dokopra2dbc21lp,KOPRADC2,0.17,0.016081871,2.79,132561503,66328,1540,72.49,6821.6,744
3872,1,3,2023/1/3 8:00,dokopra2dbc21lp,KOPRADC2,0.21,0.021929825,2.99,154074923,78500,1500,72.55,6855.89,752
3873,1,3,2023/1/3 8:15,dokopra2dbc21lp,KOPRADC2,0.19,0.019005848,3.03,154847044,54741,1860,72.51,6848.09,751
3874,1,3,2023/1/3 8:30,dokopra2dbc21lp,KOPRADC2,0.17,0.016081871,3,129780831,73691,1710,72.54,6874.11,741
3875,1,3,2023/1/3 8:45,dokopra2dbc21lp,KOPRADC2,0.23,0.024853801,3.3,190726726,66833,1540,72.44,6782.35,724
3876,1,3,2023/1/3 9:00,dokopra2dbc21lp,KOPRADC2,0.25,0.027777778,3.31,191529774,185319,2160,72.64,6902.88,753
3877,1,3,2023/1/3 9:15,dokopra2dbc21lp,KOPRADC2,0.23,0.024853801,3.17,179429637,66251,1660,72.6,6935.08,762
3878,1,3,2023/1/3 9:30,dokopra2dbc21lp,KOPRADC2,0.26,0.029239766,3.34,192840873,99070,1740,72.59,6919.88,755
3879,1,3,2023/1/3 9:45,dokopra2dbc21lp,KOPRADC2,0.26,0.029239766,3.42,212317662,58539,1840,72.56,6864.56,750
3880,1,3,2023/1/3 10:00,dokopra2dbc21lp,KOPRADC2,0.31,0.036549708,3.54,217158018,137096,1620,72.57,6887.45,746
3881,1,3,2023/1/3 10:15,dokopra2dbc21lp,KOPRADC2,0.26,0.029239766,3.36,197783686,88192,1740,72.46,6808.83,726
3882,1,3,2023/1/3 10:30,dokopra2dbc21lp,KOPRADC2,0.3,0.035087719,3.57,212934722,161381,2880,72.56,6900.06,741
3883,1,3,2023/1/3 10:45,dokopra2dbc21lp,KOPRADC2,0.26,0.029239766,3.23,185525801,146041,2340,72.58,6881.49,759
3884,1,3,2023/1/3 11:00,dokopra2dbc21lp,KOPRADC2,0.22,0.023391813,3.17,169295375,101448,2470,72.69,7030.97,778
3885,1,3,2023/1/3 11:15,dokopra2dbc21lp,KOPRADC2,1.01,0.138888889,7.78,711924851,172488,2710,72.5,6809.23,730
3886,1,3,2023/1/3 11:30,dokopra2dbc21lp,KOPRADC2,0.28,0.032163743,3.54,209934978,77284,2680,72.65,6943.02,761
3887,1,3,2023/1/3 11:45,dokopra2dbc21lp,KOPRADC2,0.28,0.032163743,3.41,209857153,111917,1980,72.55,6866.69,734
3888,1,3,2023/1/3 12:00,dokopra2dbc21lp,KOPRADC2,0.28,0.032163743,3.55,221810658,100336,2770,72.56,6864.32,738
3889,1,3,2023/1/3 12:15,dokopra2dbc21lp,KOPRADC2,0.26,0.029239766,3.41,209079186,75104,1870,72.61,6885.1,753
3890,1,3,2023/1/3 12:30,dokopra2dbc21lp,KOPRADC2,0.19,0.019005848,3.01,151718344,71020,2730,72.55,6789.5,743
3891,1,3,2023/1/3 12:45,dokopra2dbc21lp,KOPRADC2,0.16,0.014619883,2.76,123940334,44573,1880,72.61,6879.71,758
3892,1,3,2023/1/3 13:00,dokopra2dbc21lp,KOPRADC2,0.17,0.016081871,2.77,117718286,69356,1560,72.56,6823.54,743
3893,1,3,2023/1/3 13:15,dokopra2dbc21lp,KOPRADC2,0.28,0.032163743,3.39,205210097,115125,1930,72.53,6804.06,742
3894,1,3,2023/1/3 13:30,dokopra2dbc21lp,KOPRADC2,0.27,0.030701754,3.35,199895022,85359,1940,72.42,6727.49,706
3895,1,3,2023/1/3 13:45,dokopra2dbc21lp,KOPRADC2,0.25,0.027777778,3.3,196699435,84394,1440,72.52,6802.1,732
3896,1,3,2023/1/3 14:00,dokopra2dbc21lp,KOPRADC2,0.29,0.033625731,3.57,222340360,114271,2620,72.78,7070.06,747
3897,1,3,2023/1/3 14:15,dokopra2dbc21lp,KOPRADC2,0.29,0.033625731,3.38,214593728,115133,1680,72.55,6869.87,740
3898,1,3,2023/1/3 14:30,dokopra2dbc21lp,KOPRADC2,0.27,0.030701754,3.39,209695589,90965,1480,72.43,6776.94,710
3899,1,3,2023/1/3 14:45,dokopra2dbc21lp,KOPRADC2,0.22,0.023391813,3.24,172757712,77137,2760,72.43,6748.07,700
3900,1,3,2023/1/3 15:00,dokopra2dbc21lp,KOPRADC2,0.27,0.030701754,3.36,209041515,90160,1410,72.61,6869.97,747
3901,1,3,2023/1/3 15:15,dokopra2dbc21lp,KOPRADC2,0.23,0.024853801,3.28,181798890,102236,3400,72.74,6995.45,778
3902,1,3,2023/1/3 15:30,dokopra2dbc21lp,KOPRADC2,0.29,0.033625731,3.51,227473805,92752,1570,72.63,6901.94,743
3903,1,3,2023/1/3 15:45,dokopra2dbc21lp,KOPRADC2,0.26,0.029239766,3.46,209474470,77006,2960,72.51,6866.13,718
3904,1,3,2023/1/3 16:00,dokopra2dbc21lp,KOPRADC2,0.24,0.026315789,3.21,190415121,70313,1550,72.62,6918.88,743
3905,1,3,2023/1/3 16:15,dokopra2dbc21lp,KOPRADC2,0.17,0.016081871,2.89,129651937,69452,2950,72.61,6911.73,740
3906,1,3,2023/1/3 16:30,dokopra2dbc21lp,KOPRADC2,0.24,0.026315789,3.74,181390090,103325,1510,72.66,6982.59,730
3907,1,3,2023/1/3 16:45,dokopra2dbc21lp,KOPRADC2,0.22,0.023391813,3.24,178924825,68786,2600,72.75,7019.97,774
3908,1,3,2023/1/3 17:00,dokopra2dbc21lp,KOPRADC2,0.28,0.032163743,3.39,212801184,94892,1490,72.73,7183.89,763
3909,1,3,2023/1/3 17:15,dokopra2dbc21lp,KOPRADC2,0.16,0.014619883,3.48,127414232,68138,3550,72.68,6948.51,762
3910,1,3,2023/1/3 17:30,dokopra2dbc21lp,KOPRADC2,0.15,0.013157895,2.69,117710037,50493,1420,72.66,6949.11,751
3911,1,3,2023/1/3 17:45,dokopra2dbc21lp,KOPRADC2,0.26,0.029239766,3.42,196585005,66660,2930,72.7,6963.33,762
3912,2,3,2023/1/3 18:00,dokopra2dbc21lp,KOPRADC2,0.18,0.01754386,2.83,123140052,92900,1590,72.69,6937.07,761
3913,2,3,2023/1/3 18:15,dokopra2dbc21lp,KOPRADC2,0.12,0.00877193,2.6,89572599,49233,2060,72.7,6946.76,767
3914,2,3,2023/1/3 18:30,dokopra2dbc21lp,KOPRADC2,0.17,0.016081871,2.71,120095213,71358,1650,72.72,6949.82,774
3915,2,3,2023/1/3 18:45,dokopra2dbc21lp,KOPRADC2,0.11,0.007309942,2.55,88481375,44791,1560,72.73,6967.13,774
3916,2,3,2023/1/3 19:00,dokopra2dbc21lp,KOPRADC2,0.16,0.014619883,2.67,117126453,67615,1620,72.57,6832,725
3917,2,3,2023/1/3 19:15,dokopra2dbc21lp,KOPRADC2,0.12,0.00877193,2.68,100637506,36886,1760,72.57,6822.14,736
3918,2,3,2023/1/3 19:30,dokopra2dbc21lp,KOPRADC2,0.15,0.013157895,2.61,110429784,49170,1460,72.61,6840.26,734
3919,2,3,2023/1/3 19:45,dokopra2dbc21lp,KOPRADC2,0.1,0.005847953,2.45,76721016,35426,2100,72.67,6916.93,749
3920,2,3,2023/1/3 20:00,dokopra2dbc21lp,KOPRADC2,0.16,0.014619883,2.72,123978434,52088,1460,72.6,6844.97,732
